تاریخ,نوع ارز,کد ارز,خرید(اسکناس),فروش(اسکناس)*,خرید(حواله),فروش(حواله)**,خرید حواله کالاهای اساسی و ضروری,فروش حواله کالاهای اساسی و ضروری***,میانگین موزون****
1403/12/11,دلار آمریکا,USD,"691,855","698,138","673,011","679,123","282,435","285,000","580,866"
1403/12/11,یورو,EUR,"719,601","726,136","700,001","706,358","293,762","296,430","604,161"
1403/12/11,پوند انگلیس,GBP,"870,931","878,841","847,210","854,904","355,539","358,768","731,215"
1403/12/11,درهم امارات متحده عربی,AED,"188,388","190,099","183,257","184,921","76,906","77,604","158,166"
1403/12/11,یوان چین,CNY,"94,996","95,859","92,409","93,248","38,780","39,132","79,756"
1403/12/12,دلار آمریکا,USD,"695,004","701,316","676,074","682,214","282,435","285,000","573,167"
1403/12/12,یورو,EUR,"721,245","727,795","701,600","707,972","293,099","295,761","594,808"
1403/12/12,پوند انگلیس,GBP,"874,036","881,974","850,229","857,951","355,190","358,416","720,814"
1403/12/12,درهم امارات متحده عربی,AED,"189,245","190,964","184,091","185,763","76,906","77,604","156,070"
1403/12/12,یوان چین,CNY,"95,431","96,298","92,832","93,675","38,781","39,133","78,702"
1403/12/13,دلار آمریکا,USD,"695,407","701,722","676,466","682,609","282,435","285,000","576,127"
1403/12/13,یورو,EUR,"721,234","727,784","701,590","707,962","292,925","295,585","597,525"
1403/12/13,پوند انگلیس,GBP,"874,736","882,680","850,911","858,639","355,269","358,495","724,697"
1403/12/13,درهم امارات متحده عربی,AED,"189,355","191,075","184,197","185,870","76,906","77,604","156,876"
1403/12/13,یوان چین,CNY,"95,486","96,353","92,885","93,729","38,781","39,133","79,108"
1403/12/14,دلار آمریکا,USD,"695,013","701,325","676,083","682,223","282,435","285,000","572,337"
1403/12/14,یورو,EUR,"729,539","736,164","709,668","716,113","296,465","299,157","600,768"
1403/12/14,پوند انگلیس,GBP,"883,288","891,310","859,231","867,034","358,945","362,205","727,380"
1403/12/14,درهم امارات متحده عربی,AED,"189,248","190,967","184,093","185,765","76,906","77,604","155,844"
1403/12/14,یوان چین,CNY,"95,453","96,320","92,854","93,697","38,790","39,142","78,605"
1403/12/15,دلار آمریکا,USD,"694,849","701,159","675,922","682,061","282,435","285,000","574,585"
1403/12/15,یورو,EUR,"731,941","738,588","712,005","718,471","297,512","300,214","605,258"
1403/12/15,پوند انگلیس,GBP,"884,208","892,238","860,125","867,936","359,404","362,668","731,170"
1403/12/15,درهم امارات متحده عربی,AED,"189,203","190,921","184,050","185,721","76,906","77,604","156,456"
1403/12/15,یوان چین,CNY,"95,634","96,503","93,030","93,875","38,873","39,226","79,083"
1403/12/16,دلار آمریکا,USD,"697,204","703,536","678,215","684,374","282,435","285,000","569,650"
